Ticker,Nombre,Índice,Precio,Market Cap (B),PER (Trailing),PER (Forward),PEG,EV/EBITDA,EV/Sales,P/S,P/B,P/FCF,Crec. Ventas YoY (%),Crec. EPS YoY (%),ROIC Aprox. (%),ROE (%),ROA (%),Margen Bruto (%),Margen Operativo (%),Margen Neto (%),Debt/Equity,Current Ratio,Payout Ratio (%)
BATRA,"Atlanta Braves Holdings, Inc. -",Russell 2000,56.67,3.636394496,,-123.19565,,111.392,5.906,4.8487396,7.0704923,,-2.3,,-4.171484849263325,-12.0340005,-1.41199995,24.903,-6.077,-8.559,1.70267,0.491,0.0
FWRD,Forward Air Corporation,Russell 2000,18.11,0.611771456,,42.11628,0.65,9.139,1.023,0.24295205,-5.2922273,7.034584911608467,8.799999999999999,,6.802393640293321,-735.718,3.0580001,21.490000000000002,6.343,-11.366,,1.321,0.0
BMRC,Bank of Marin Bancorp,Russell 2000,26.91,0.4357872,,11.220307,2.56,,3.618,7.21299,1.0844247,,275.4,,9.948513937770539,-3.4140002000000003,-0.37599997999999996,0.0,39.622003,-23.601,,,161.28999
CTNM,"Contineum Therapeutics, Inc.",Russell 2000,17.19,0.646707264,,-9.565198,,-6.314,,,2.69774,,,,,-28.004997999999997,-19.150999,0.0,0.0,0.0,0.02743,37.171,0.0
OVID,Ovid Therapeutics Inc.,Russell 2000,2.8,0.546833984,,-7.101372,,-7.63,279.425,345.44156,2.4647887,,-88.3,,-22.385616004365414,-25.964,-23.456,100.0,-2100.6819,0.0,0.060579999999999995,12.386,0.0
FRBA,First Bank,Russell 2000,18.21,0.450770912,10.587209,10.088642,1.9781650980392158,,2.95,3.3589487,0.9943213,,1.7000000000000002,5.1,11.600463302331182,9.717,1.05,0.0,43.605998,31.701002,,,17.54
ACCO,Acco Brands Corporation,Russell 2000,4.24,0.391384064,6.8387094,4.401399,0.82,8.012,0.822,0.24908297,0.5662393,9.51693772644377,5.1,-51.6,6.596285106873712,8.853,2.8210001,32.775003000000005,8.456001,3.742,1.45637,1.973,48.389998
FNLC,"First Bancorp, Inc (ME)",Russell 2000,34.74,0.391948512,10.401198,,0.57465182320442,,5.795,3.9665282,1.3374914,,12.9,18.099999999999998,8.025108821288025,13.54,1.179,0.0,48.702,38.261002,,,55.189997000000005
AMCX,AMC Global Media Inc.,Russell 2000,12.39,0.511087168,,4.4771914,0.55,7.08,0.816,0.22753757,0.5608873,0.5091196689299841,-8.799999999999999,,2.868337619705981,-0.9950000000000001,2.661,48.262,3.141,-0.8789999999999999,1.84876,1.761,0.0
PKBK,"Parke Bancorp, Inc.",Russell 2000,34.15,0.401654208,8.8932295,,0.43,,4.218,4.521402,1.1616832,,31.1,48.8,15.866015831906127,13.916,2.0480001000000003,0.0,71.99099700000001,51.556000000000004,,,19.27
FIP,FTAI Infrastructure Inc.,Russell 2000,3.82,0.451454208,,-2.8939393,,18.881,6.492,0.68484646,-1.3691757,0.7993678464282938,52.7,,2.4874510338870217,-84.49099700000001,0.775,39.953,12.086,-83.348,4.53169,0.276,0.0
PRTA,Prothena Corporation plc,Russell 2000,9.45,0.4851344,,-6.2171054,,-3.454,3.74,8.896651,1.7045454,,-77.10000000000001,,,-14.395,-10.666,-19.107,-1850.1979999999999,-80.67500600000001,0.02437,25.048,0.0
SRTA,"Strata Critical Medical, Inc.",Russell 2000,6.24,0.552032832,,,,73.876,2.084,2.1565888,1.9765599,,60.699999999999996,,-4.902136181424735,-9.219,-1.864,21.250999,-6.322,15.713,0.015229999999999999,2.643,0.0
CWH,"Camping World Holdings, Inc.",Russell 2000,6.54,0.675548736,,7.5427303,,16.233,0.651,0.10777188,1.6991426,5.734910099396353,-2.1,-12.9,7.008755072175746,-26.529999999999998,1.926,28.667998,5.3200003,-1.5520001,9.371,1.221,272.73002
NGS,"Natural Gas Services Group, Inc",Russell 2000,35.49,0.45776016,22.181252,13.597702,0.82,9.361,4.155,2.4166667,1.5542613,,24.2,-26.8,4.630632040280305,7.305000000000001,4.393,59.161997,19.301,10.812,1.11816,2.012,22.5
CCCC,"C4 Therapeutics, Inc.",Russell 2000,4.0,0.492100544,,-4.010025,,-2.969,8.428,14.044366,1.9880714,,2.8000000000000003,,,-48.141,-19.253999,86.344004,-397.87703,-289.437,0.22995000000000002,5.449,0.0
ISTR,Investar Holding Corporation,Russell 2000,30.31,0.417581664,12.422131,9.194126,0.2744515223880597,,4.734,3.452058,1.0713655,,61.7,33.5,7.266457030205381,9.944,1.0170000000000001,0.0,39.121,27.787,,,18.6
ERII,"Energy Recovery, Inc.",Russell 2000,7.9,0.403254528,30.384617,16.28866,3.33,13.535,2.641,3.3444846,2.3442137,11.090875786776381,-57.199999999999996,,-45.79430670763482,8.5769996,6.0040000000000004,65.363,-41.922,12.722,0.047729999999999995,8.052,0.0
CYH,"Community Health Systems, Inc.",Russell 2000,3.01,0.424438176,1.6096257,-5.813392,2.38,8.266,0.919,0.035420027,-0.29348674,2.151777825095057,-9.8,-75.6,8.445336279481714,,4.6329997,41.409,7.681,2.103,,1.528,0.0
VLGEA,"Village Super Market, Inc.",Russell 2000,44.1,0.65309856,11.759999,,,8.027,0.353,0.27259997,1.2685171,20.904672753606953,1.6,-19.0,4.934727667449387,10.931000000000001,4.303,28.155002,1.4680001,2.2689999999999997,0.62202,1.165,27.250000000000004
HVT,"Haverty Furniture Companies, In",Russell 2000,27.38,0.440690752,19.84058,10.390892,1.29,10.887,0.709,0.5470999,1.4372704,12.535649324420424,7.7,100.0,5.066110194014364,7.6230004000000005,2.55,60.9,3.3689998,2.9250000000000003,0.78455,1.691,94.93
SFIX,"Stitch Fix, Inc.",Russell 2000,3.34,0.445642336,,-42.87548,,-2451.172,0.25,0.3338325,2.2119205,12.61893221807974,4.7,,-18.761261484792467,-9.515,-3.052,43.659002,-1.17999995,-1.432,0.36994,1.499,0.0
